id,text,cleaned_text,tokens,stemmed_tokens,lemmatized_tokens,createdAt,Aspect,Sentiment
1795243337038832128,"@SunnyEdwards Britain created lots of conflict in the Middle East but why is it the creation of Israel bothers you and not Jordan? Not fit with your conspiracy theories ?
https://t.co/rMsrobTjW5"," britain created lots of conflict in the middle east but why is it the creation of israel bothers you and not jordan not fit with your conspiracy theories 
","['britain', 'created', 'lots', 'conflict', 'middle', 'east', 'creation', 'israel', 'bothers', 'jordan', 'fit', 'conspiracy', 'theories']","['britain', 'creat', 'lot', 'conflict', 'middl', 'east', 'creation', 'israel', 'bother', 'jordan', 'fit', 'conspiraci', 'theori']","['britain', 'created', 'lot', 'conflict', 'middle', 'east', 'creation', 'israel', 'bother', 'jordan', 'fit', 'conspiracy', 'theory']",Mon May 27 23:59:00 +0000 2024,Conflict,NEGATIVE
1795236229086110208,"Ireland, Norway and Spain admitted the Palestinian State, incredible. How such state under Hamas leadership can help resolve the Middle East conflict? https://t.co/F2siLY7rRN",ireland norway and spain admitted the palestinian state incredible how such state under hamas leadership can help resolve the middle east conflict ,"['ireland', 'norway', 'spain', 'admitted', 'palestinian', 'state', 'incredible', 'state', 'hamas', 'leadership', 'help', 'resolve', 'middle', 'east', 'conflict']","['ireland', 'norway', 'spain', 'admit', 'palestinian', 'state', 'incred', 'state', 'hama', 'leadership', 'help', 'resolv', 'middl', 'east', 'conflict']","['ireland', 'norway', 'spain', 'admitted', 'palestinian', 'state', 'incredible', 'state', 'hamas', 'leadership', 'help', 'resolve', 'middle', 'east', 'conflict']",Mon May 27 23:30:45 +0000 2024,Conflict,POSITIVE
1795235160134164736,"@osodimezz @aventurineology @Lai_core If you really want to blame someone I suggest you look into the British imperialism in the Middle East. 
It started long before 1948 and it's the main reason for many problems within the middle east (not just the Israel-Palestine conflict). :)","   if you really want to blame someone i suggest you look into the british imperialism in the middle east 
it started long before  and its the main reason for many problems within the middle east not just the israelpalestine conflict ","['really', 'want', 'blame', 'someone', 'suggest', 'look', 'british', 'imperialism', 'middle', 'east', 'started', 'long', 'main', 'reason', 'many', 'problems', 'within', 'middle', 'east', 'israelpalestine', 'conflict']","['realli', 'want', 'blame', 'someon', 'suggest', 'look', 'british', 'imperi', 'middl', 'east', 'start', 'long', 'main', 'reason', 'mani', 'problem', 'within', 'middl', 'east', 'israelpalestin', 'conflict']","['really', 'want', 'blame', 'someone', 'suggest', 'look', 'british', 'imperialism', 'middle', 'east', 'started', 'long', 'main', 'reason', 'many', 'problem', 'within', 'middle', 'east', 'israelpalestine', 'conflict']",Mon May 27 23:26:30 +0000 2024,Conflict,NEGATIVE
1795232029841273344,"@nspector4 Sounds nice, but at what cost to public safety and social cohesion? 

And what is 'our part' exactly in a conflict we have no control over and for a population we are culturally dissimilar from? Have we negotiated 'our part' with Middle East countries doing 'their part'?"," sounds nice but at what cost to public safety and social cohesion 

and what is our part exactly in a conflict we have no control over and for a population we are culturally dissimilar from have we negotiated our part with middle east countries doing their part","['sounds', 'nice', 'cost', 'public', 'safety', 'social', 'cohesion', 'part', 'exactly', 'conflict', 'control', 'population', 'culturally', 'dissimilar', 'negotiated', 'part', 'middle', 'east', 'countries', 'part']","['sound', 'nice', 'cost', 'public', 'safeti', 'social', 'cohes', 'part', 'exactli', 'conflict', 'control', 'popul', 'cultur', 'dissimilar', 'negoti', 'part', 'middl', 'east', 'countri', 'part']","['sound', 'nice', 'cost', 'public', 'safety', 'social', 'cohesion', 'part', 'exactly', 'conflict', 'control', 'population', 'culturally', 'dissimilar', 'negotiated', 'part', 'middle', 'east', 'country', 'part']",Mon May 27 23:14:04 +0000 2024,Conflict,NEGATIVE
1795227659091214592,"@Sandyboots2020 @BladeoftheS They can, if they read the sun, telegraph, mail, the times or watch literally any TV channel. Also stupid is a tad unfair.  The odds are stacked. These are the few reasons why social media is a force for good. Just look at the conflict in the middle east and how it's covered",  they can if they read the sun telegraph mail the times or watch literally any tv channel also stupid is a tad unfair  the odds are stacked these are the few reasons why social media is a force for good just look at the conflict in the middle east and how its covered,"['read', 'sun', 'telegraph', 'mail', 'times', 'watch', 'literally', 'tv', 'channel', 'also', 'stupid', 'tad', 'unfair', 'odds', 'stacked', 'reasons', 'social', 'media', 'force', 'good', 'look', 'conflict', 'middle', 'east', 'covered']","['read', 'sun', 'telegraph', 'mail', 'time', 'watch', 'liter', 'tv', 'channel', 'also', 'stupid', 'tad', 'unfair', 'odd', 'stack', 'reason', 'social', 'media', 'forc', 'good', 'look', 'conflict', 'middl', 'east', 'cover']","['read', 'sun', 'telegraph', 'mail', 'time', 'watch', 'literally', 'tv', 'channel', 'also', 'stupid', 'tad', 'unfair', 'odds', 'stacked', 'reason', 'social', 'medium', 'force', 'good', 'look', 'conflict', 'middle', 'east', 'covered']",Mon May 27 22:56:42 +0000 2024,Conflict,NEGATIVE
1795226407062089984,"I don't believe it. just like the others, creates a system of conflict.then you say they are the big ones

Israel is one example of many countries in this circle. many people had to die just to maintain the sovereignty of a country

soviet,China, Japan,Africa, America,Middle East","i dont believe it just like the others creates a system of conflictthen you say they are the big ones

israel is one example of many countries in this circle many people had to die just to maintain the sovereignty of a country

sovietchina japanafrica americamiddle east","['dont', 'believe', 'like', 'others', 'creates', 'system', 'conflictthen', 'say', 'big', 'ones', 'israel', 'one', 'example', 'many', 'countries', 'circle', 'many', 'people', 'die', 'maintain', 'sovereignty', 'country', 'sovietchina', 'japanafrica', 'americamiddle', 'east']","['dont', 'believ', 'like', 'other', 'creat', 'system', 'conflictthen', 'say', 'big', 'one', 'israel', 'one', 'exampl', 'mani', 'countri', 'circl', 'mani', 'peopl', 'die', 'maintain', 'sovereignti', 'countri', 'sovietchina', 'japanafrica', 'americamiddl', 'east']","['dont', 'believe', 'like', 'others', 'creates', 'system', 'conflictthen', 'say', 'big', 'one', 'israel', 'one', 'example', 'many', 'country', 'circle', 'many', 'people', 'die', 'maintain', 'sovereignty', 'country', 'sovietchina', 'japanafrica', 'americamiddle', 'east']",Mon May 27 22:51:43 +0000 2024,Conflict,NEGATIVE
1795226062441296384,"Middle East Conflict https://t.co/a0B1EuwoA2 
Amazing EU Foreign Chief Telling Israel
Must Respect UN court . UN can stop
 treating Israel Like A child When They 
Have no say so","middle east conflict  
amazing eu foreign chief telling israel
must respect un court  un can stop
 treating israel like a child when they 
have no say so","['middle', 'east', 'conflict', 'amazing', 'eu', 'foreign', 'chief', 'telling', 'israel', 'must', 'respect', 'un', 'court', 'un', 'stop', 'treating', 'israel', 'like', 'child', 'say']","['middl', 'east', 'conflict', 'amaz', 'eu', 'foreign', 'chief', 'tell', 'israel', 'must', 'respect', 'un', 'court', 'un', 'stop', 'treat', 'israel', 'like', 'child', 'say']","['middle', 'east', 'conflict', 'amazing', 'eu', 'foreign', 'chief', 'telling', 'israel', 'must', 'respect', 'un', 'court', 'un', 'stop', 'treating', 'israel', 'like', 'child', 'say']",Mon May 27 22:50:21 +0000 2024,Conflict,POSITIVE
1795225003710959616,@TomTugendhat Conflict in the middle east affects us in zero ways., conflict in the middle east affects us in zero ways,"['conflict', 'middle', 'east', 'affects', 'us', 'zero', 'ways']","['conflict', 'middl', 'east', 'affect', 'us', 'zero', 'way']","['conflict', 'middle', 'east', 'affect', 'u', 'zero', 'way']",Mon May 27 22:46:09 +0000 2024,Conflict,NEGATIVE
1795222214465175552,"@Matt_Fleming321 So vote for #TFG. Or don't vote at all. Sometimes in life, &amp; in executive decision making, you play the shitty hand you're dealt. I also promise you that the entire middle east palette of colors and conflict didn't happen by accident or in a vacuum. #nationalsecurity #MarALago", so vote for tfg or dont vote at all sometimes in life amp in executive decision making you play the shitty hand youre dealt i also promise you that the entire middle east palette of colors and conflict didnt happen by accident or in a vacuum nationalsecurity maralago,"['vote', 'tfg', 'dont', 'vote', 'sometimes', 'life', 'amp', 'executive', 'decision', 'making', 'play', 'shitty', 'hand', 'youre', 'dealt', 'also', 'promise', 'entire', 'middle', 'east', 'palette', 'colors', 'conflict', 'didnt', 'happen', 'accident', 'vacuum', 'nationalsecurity', 'maralago']","['vote', 'tfg', 'dont', 'vote', 'sometim', 'life', 'amp', 'execut', 'decis', 'make', 'play', 'shitti', 'hand', 'your', 'dealt', 'also', 'promis', 'entir', 'middl', 'east', 'palett', 'color', 'conflict', 'didnt', 'happen', 'accid', 'vacuum', 'nationalsecur', 'maralago']","['vote', 'tfg', 'dont', 'vote', 'sometimes', 'life', 'amp', 'executive', 'decision', 'making', 'play', 'shitty', 'hand', 'youre', 'dealt', 'also', 'promise', 'entire', 'middle', 'east', 'palette', 'color', 'conflict', 'didnt', 'happen', 'accident', 'vacuum', 'nationalsecurity', 'maralago']",Mon May 27 22:35:04 +0000 2024,Conflict,POSITIVE
1795221642815103232,"@AadiAchint Manipur conflict is at the center of the Christian State narrative. Our dear friend currently engaged in the middle east (bordering Jordan) is also a part it this game. Chinland or Kuki land was supposed to be along the border of India, Myanmar and Bangladesh.", manipur conflict is at the center of the christian state narrative our dear friend currently engaged in the middle east bordering jordan is also a part it this game chinland or kuki land was supposed to be along the border of india myanmar and bangladesh,"['manipur', 'conflict', 'center', 'christian', 'state', 'narrative', 'dear', 'friend', 'currently', 'engaged', 'middle', 'east', 'bordering', 'jordan', 'also', 'part', 'game', 'chinland', 'kuki', 'land', 'supposed', 'along', 'border', 'india', 'myanmar', 'bangladesh']","['manipur', 'conflict', 'center', 'christian', 'state', 'narr', 'dear', 'friend', 'current', 'engag', 'middl', 'east', 'border', 'jordan', 'also', 'part', 'game', 'chinland', 'kuki', 'land', 'suppos', 'along', 'border', 'india', 'myanmar', 'bangladesh']","['manipur', 'conflict', 'center', 'christian', 'state', 'narrative', 'dear', 'friend', 'currently', 'engaged', 'middle', 'east', 'bordering', 'jordan', 'also', 'part', 'game', 'chinland', 'kuki', 'land', 'supposed', 'along', 'border', 'india', 'myanmar', 'bangladesh']",Mon May 27 22:32:47 +0000 2024,Boycott,POSITIVE
